VolcanoPlot	Counts	Log2					
#Analysis Name	M-1002 Loma Linda analysis						
#Dataset Name	FCortex GCvsFLT SAL						
Statistical test summary							
Group by	Segment						
#Filtered Dataset	false						
Target tag	Target group membership/s	Target name	Log2	Pvalue	Adjusted pvalue	-log10 pvalue	-log10 adjusted pvalue
	"Probe_QC_5percfilter, All Targets"	Pebp1	0.252874471	0.165847229	0.2	0.78029178	0.698970004
	"Probe_QC_5percfilter, All Targets"	Bex3	0.326842091	0.061304885	0.11	1.212504917	0.958607315
	"Probe_QC_5percfilter, All Targets"	Fgf7	-0.126700877	0.581176388	0.39	0.235692038	0.408935393
	"Probe_QC_5percfilter, All Targets"	Scx	0.259747168	0.35741062	0.25	0.446832547	0.602059991
	"Probe_QC_5percfilter, All Targets"	Ptges2	0.086720401	0.39578602	0.16	0.40253955	0.795880017
	"Probe_QC_5percfilter, All Targets"	Dsel	0.195130221	0.479836747	0.43	0.318906496	0.366531544
	"Probe_QC_5percfilter, All Targets"	Kit	-0.244975643	0.322002622	0.31	0.492140592	0.508638306
	"Probe_QC_5percfilter, All Targets"	Mad1l1	0.291434567	0.173593202	0.07	0.760467287	1.15490196
	"Probe_QC_5percfilter, All Targets"	Avpi1	-0.158497193	0.464171401	0.34	0.333321621	0.468521083
	"Probe_QC_5percfilter, All Targets"	Zfp672	0.071169641	0.557803711	0.52	0.253518601	0.283996656
	"Probe_QC_5percfilter, All Targets"	Isx	-0.212614245	0.452825486	0.5	0.344069138	0.301029996
	"Probe_QC_5percfilter, All Targets"	Slc26a11	-0.129826784	0.61283769	0.63	0.212654533	0.200659451
	"Probe_QC_5percfilter, All Targets"	Dnajc5b	-0.049969684	0.959234968	0.91	0.018074998	0.040958608
	"Probe_QC_5percfilter, All Targets"	Ivd	0.139138367	0.595828265	0.6	0.224878898	0.22184875
	"Probe_QC_5percfilter, All Targets"	Commd7	-0.12676767	0.58901751	0.4	0.229871795	0.397940009
	"Probe_QC_5percfilter, All Targets"	Sin3a	-0.083998222	0.718353855	0.75	0.143661573	0.124938737
	"Probe_QC_5percfilter, All Targets"	Tmem158	-0.49610801	0.00124871	0	2.903538423	
	"Probe_QC_5percfilter, All Targets"	Gast	-0.375471458	0.304253497	0.18	0.516764422	0.744727495
	"Probe_QC_5percfilter, All Targets"	Oc90	0.20302767	0.669618825	0.72	0.174172345	0.142667504
	"Probe_QC_5percfilter, All Targets"	Klf12	-0.37081075	0.106205957	0	0.973851124	
	"Probe_QC_5percfilter, All Targets"	Scn2a	-0.122807296	0.59843547	0.58	0.222982673	0.236572006
	"Probe_QC_5percfilter, All Targets"	Actr1a	0.08898562	0.573240106	0.41	0.241663432	0.387216143
	"Probe_QC_5percfilter, All Targets"	Olfr1316	0.095261926	0.464840773	0.42	0.332695785	0.37675071
	"Probe_QC_5percfilter, All Targets"	Faap24	0.00979968	0.940878835	0.91	0.026466301	0.040958608
	"Probe_QC_5percfilter, All Targets"	Akap9	0.221944552	0.443538962	0.44	0.353068224	0.356547324
	"Probe_QC_5percfilter, All Targets"	Krt78	0.039553865	0.658862845	0.57	0.181204983	0.244125144
	"Probe_QC_5percfilter, All Targets"	Pds5a	-0.104541856	0.222870596	0.19	0.651947225	0.721246399
	"Probe_QC_5percfilter, All Targets"	Comp	0.191997321	0.375313215	0.22	0.425606144	0.657577319
	"Probe_QC_5percfilter, All Targets"	Ccnb1ip1	0.052833802	0.824383817	0.48	0.083870542	0.318758763
	"Probe_QC_5percfilter, All Targets"	1700017N19Rik	0.359773567	0.219183703	0.18	0.65919174	0.744727495
	"Probe_QC_5percfilter, All Targets"	Nudt15	-0.031052749	0.819004875	0.91	0.086713513	0.040958608
	"Probe_QC_5percfilter, All Targets"	Ccdc169	-0.125670004	0.508249501	0.7	0.293923039	0.15490196
	"Probe_QC_5percfilter, All Targets"	Cdc25c	0.0763964	0.749051564	0.67	0.125488285	0.173925197
	"Probe_QC_5percfilter, All Targets"	Plrg1	0.226725792	0.421228369	0.46	0.375482388	0.337242168
	"Probe_QC_5percfilter, All Targets"	Gm7694	-0.134413606	0.615540553	0.43	0.21074333	0.366531544
	"Probe_QC_5percfilter, All Targets"	Efhd1	0.187297256	0.139150669	0	0.8565147	
	"Probe_QC_5percfilter, All Targets"	Spata18	-0.301232334	0.33435063	0.22	0.475797854	0.657577319
	"Probe_QC_5percfilter, All Targets"	Pick1	0.395169295	0.183879599	0	0.735466451	
	"Probe_QC_5percfilter, All Targets"	Nmu	-0.225622631	0.009303216	0	2.031366887	
	"Probe_QC_5percfilter, All Targets"	Phb	0.070745493	0.844689765	0.81	0.073302768	0.091514981
	"Probe_QC_5percfilter, All Targets"	Sfxn3	0.035225317	0.99983174	0.92	7.30805E-05	0.036212173
	"Probe_QC_5percfilter, All Targets"	Lcn2	0.148079	0.772003374	0.44	0.112380802	0.356547324
	"Probe_QC_5percfilter, All Targets"	Serpini1	0.5301469	0.083897171	0.1	1.076252682	1
	"Probe_QC_5percfilter, All Targets"	Slc38a9	-0.0124607	0.966508198	0.85	0.014794458	0.070581074
	"Probe_QC_5percfilter, All Targets"	Pard6a	-0.125051006	0.372824942	0.37	0.428495041	0.431798276
	"Probe_QC_5percfilter, All Targets"	Hivep1	0.182931411	0.415691653	0.5	0.381228696	0.301029996
	"Probe_QC_5percfilter, All Targets"	Alg5	0.239415376	0.516715434	0.59	0.286748566	0.229147988
	"Probe_QC_5percfilter, All Targets"	Prdm9	0.101979237	0.584493982	0.55	0.233219956	0.259637311
	"Probe_QC_5percfilter, All Targets"	Pcolce2	0.108442099	0.576777545	0.53	0.238991656	0.27572413
	"Probe_QC_5percfilter, All Targets"	Nrp2	-0.136958511	0.587115678	0.45	0.231276322	0.346787486
	"Probe_QC_5percfilter, All Targets"	Ints1	0.0131499	0.931592752	0.92	0.030773899	0.036212173
	"Probe_QC_5percfilter, All Targets"	Cwh43	-0.138422051	0.457628846	0.37	0.339486609	0.431798276
	"Probe_QC_5percfilter, All Targets"	Cdk16	0.177136851	0.006867079	0	2.163227968	
	"Probe_QC_5percfilter, All Targets"	Brsk1	0.220744325	0.178969417	0	0.747221177	
	"Probe_QC_5percfilter, All Targets"	Ntsr1	-0.287914648	0.329568258	0.19	0.482054624	0.721246399
	"Probe_QC_5percfilter, All Targets"	Lcat	-0.136739991	0.572639453	0.64	0.242118734	0.193820026
	"Probe_QC_5percfilter, All Targets"	Hnrnpul1	0.142092668	0.585519115	0.52	0.232458922	0.283996656
	"Probe_QC_5percfilter, All Targets"	Washc2	0.72608612	0.015028642	0	1.823080248	
	"Probe_QC_5percfilter, All Targets"	Slc1a4	0.307877137	0.190603164	0.08	0.719869894	1.096910013
	"Probe_QC_5percfilter, All Targets"	Dmrta1	-0.192956309	0.474194574	0.45	0.32404342	0.346787486
	"Probe_QC_5percfilter, All Targets"	Enc1	-0.472521727	0.040735238	0	1.390029742	
	"Probe_QC_5percfilter, All Targets"	Tatdn3	0.297753846	0.273795436	0.32	0.562573796	0.494850022
	"Probe_QC_5percfilter, All Targets"	Gdpd1	-0.072179539	0.609468994	0.34	0.215048384	0.468521083
	"Probe_QC_5percfilter, All Targets"	Gucy1b1	0.35943087	0.136468999	0	0.864965994	
	"Probe_QC_5percfilter, All Targets"	Nup210	0.019839953	0.96389592	0.89	0.015969858	0.050609993
	"Probe_QC_5percfilter, All Targets"	Chst13	0.334044828	0.225765219	0.26	0.646342963	0.585026652
	"Probe_QC_5percfilter, All Targets"	Msl3l2	-0.039644599	0.90068728	0.77	0.045425971	0.113509275
	"Probe_QC_5percfilter, All Targets"	Phospho2	0.14179948	0.319021553	0.22	0.496179975	0.657577319
	"Probe_QC_5percfilter, All Targets"	Tmprss7	-0.031362568	0.897314169	0.81	0.047055474	0.091514981
	"Probe_QC_5percfilter, All Targets"	Fam78a	0.179620266	0.641463717	0.59	0.192827904	0.229147988
	"Probe_QC_5percfilter, All Targets"	Mrpl34	-0.240185754	0.212155919	0.18	0.673344847	0.744727495
	"Probe_QC_5percfilter, All Targets"	Phykpl	0.241659656	0.40715098	0.34	0.390244516	0.468521083
	"Probe_QC_5percfilter, All Targets"	1700020L13Rik	-0.032741478	0.885854858	0.86	0.052637429	0.065501549
	"Probe_QC_5percfilter, All Targets"	Ano7	0.060632149	0.681706011	0.6	0.166402876	0.22184875
	"Probe_QC_5percfilter, All Targets"	Trp53i11	-0.227640578	0.495684999	0.38	0.304794224	0.420216403
	"Probe_QC_5percfilter, All Targets"	Fam169b	-0.314904324	0.303168106	0.31	0.51831649	0.508638306
	"Probe_QC_5percfilter, All Targets"	Gng10	0.229031807	0.451096259	0.28	0.345730775	0.552841969
	"Probe_QC_5percfilter, All Targets"	Ube2d3	-0.259790517	0.389041462	0.33	0.410004111	0.48148606
	"Probe_QC_5percfilter, All Targets"	Cfap300	-0.044005202	0.662267937	0.52	0.178966271	0.283996656
	"Probe_QC_5percfilter, All Targets"	Uqcc3	0.008987253	0.954069467	0.85	0.020420002	0.070581074
	"Probe_QC_5percfilter, All Targets"	Cabin1	0.126517323	0.488419088	0.23	0.311207371	0.638272164
	"Probe_QC_5percfilter, All Targets"	Cacna1e	-0.59247564	0.024883877	0	1.604081948	
	"Probe_QC_5percfilter, All Targets"	Brat1	0.046782199	0.819295886	0.98	0.086559226	0.008773924
	"Probe_QC_5percfilter, All Targets"	Pex12	0.108838408	0.667040522	0.48	0.175847782	0.318758763
	"Probe_QC_5percfilter, All Targets"	Gm1096	0.133476115	0.604912798	0.56	0.218307227	0.251811973
	"Probe_QC_5percfilter, All Targets"	Pno1	-0.126340194	0.629916057	0.55	0.200717321	0.259637311
	"Probe_QC_5percfilter, All Targets"	Baz2b	0.290003892	0.210715595	0.07	0.676303321	1.15490196
	"Probe_QC_5percfilter, All Targets"	Rhpn2	0.230241685	0.458968424	0.4	0.338217192	0.397940009
	"Probe_QC_5percfilter, All Targets"	Cdh9	-0.228698516	0.483655253	0.43	0.315464091	0.366531544
	"Probe_QC_5percfilter, All Targets"	Car7	-0.014383781	0.963296036	0.89	0.016240227	0.050609993
	"Probe_QC_5percfilter, All Targets"	Sgo2a	0.262085779	0.42771534	0.37	0.368845173	0.431798276
	"Probe_QC_5percfilter, All Targets"	U2surp	-0.265624365	0.404924966	0.21	0.392625446	0.677780705
	"Probe_QC_5percfilter, All Targets"	Secisbp2l	0.034060553	0.770275863	0.57	0.113353711	0.244125144
	"Probe_QC_5percfilter, All Targets"	Sh3bp2	0.091962379	0.757391528	0.77	0.120679557	0.113509275
	"Probe_QC_5percfilter, All Targets"	Adora1	-0.016274576	0.85782488	0.85	0.066601362	0.070581074
	"Probe_QC_5percfilter, All Targets"	Ccl27a	-0.413806577	0.149732677	0.1	0.824683411	1
	"Probe_QC_5percfilter, All Targets"	Atf4	0.269215748	0.201366518	0.06	0.696012739	1.22184875
	"Probe_QC_5percfilter, All Targets"	Klri1	0.350981128	0.214990938	0.17	0.667579845	0.769551079
	"Probe_QC_5percfilter, All Targets"	Steap3	-0.004650956	0.924180955	0.93	0.034242985	0.031517051
	"Probe_QC_5percfilter, All Targets"	Rab6a	0.177965272	0.374142023	0.3	0.42696351	0.522878745
	"Probe_QC_5percfilter, All Targets"	Als2	0.005840428	0.894893325	0.6	0.048228731	0.22184875
	"Probe_QC_5percfilter, All Targets"	Sh2b3	0.43179691	0.044898906	0	1.347764238	
	"Probe_QC_5percfilter, All Targets"	Fam172a	0.089780342	0.862057399	0.84	0.064463816	0.075720714
	"Probe_QC_5percfilter, All Targets"	E2f3	0.252643665	0.340345387	0.34	0.468080131	0.468521083
	"Probe_QC_5percfilter, All Targets"	Cdk5	0.137746998	0.545800125	0.64	0.26296637	0.193820026
	"Probe_QC_5percfilter, All Targets"	Khsrp	-0.135787491	0.36327841	0.33	0.439760412	0.48148606
	"Probe_QC_5percfilter, All Targets"	Lsm14b	-0.418917523	0.253087865	0.15	0.596728678	0.823908741
	"Probe_QC_5percfilter, All Targets"	Aamp	0.26086942	0.195848772	0.06	0.708079148	1.22184875
	"Probe_QC_5percfilter, All Targets"	Mical2	-0.453834686	0.054941625	0	1.260098499	
	"Probe_QC_5percfilter, All Targets"	Adam17	-0.004696349	0.984969847	0.76	0.006577064	0.119186408
	"Probe_QC_5percfilter, All Targets"	2310034G01Rik	-0.125513766	0.641529615	0.64	0.19278329	0.193820026
	"Probe_QC_5percfilter, All Targets"	Ankrd1	-0.131900889	0.568794027	0.68	0.245044973	0.167491087
	"Probe_QC_5percfilter, All Targets"	Tango6	-0.516337319	0.012366955	0	1.907737233	
	"Probe_QC_5percfilter, All Targets"	Suclg1	0.221246858	0.228296145	0.07	0.641501422	1.15490196
	"Probe_QC_5percfilter, All Targets"	Zfp64	0.257098054	0.586482636	0.56	0.231744841	0.251811973
	"Probe_QC_5percfilter, All Targets"	Sdr42e1	0.139846824	0.73428485	0.66	0.134135432	0.180456064
	"Probe_QC_5percfilter, All Targets"	Sirt3	-0.054972711	0.673791726	0.78	0.171474326	0.107905397
	"Probe_QC_5percfilter, All Targets"	Olfr318	-0.298584169	0.28227628	0.18	0.549325614	0.744727495
	"Probe_QC_5percfilter, All Targets"	Nfib	0.006957811	0.980678669	0.92	0.008473271	0.036212173
	"Probe_QC_5percfilter, All Targets"	Clec7a	-0.063702734	0.996303713	0.83	0.001608251	0.080921908
	"Probe_QC_5percfilter, All Targets"	Eng	-0.023280498	0.957983508	0.93	0.018641967	0.031517051
