,log2FC
ADGRF5P2,0.0
ADGRG1,0.003883838636299153
ADGRG2,-0.5673973599022389
ADGRG3,0.036090230537088264
ADGRG4,0.11845176837924346
ADGRG5,-0.04368739465134086
ADGRG6,-1.117077884277907
ADGRG7,-4.150164637945333
ADGRL1,0.19341218091337797
ADGRL1-AS1,0.35762812380940034
ADGRL2,-0.27426719088637386
ADGRL3,-2.177376189925666
ADGRL3-AS1,-0.04193834556643781
ADGRL4,-0.03868192961857378
ADGRV1,-0.4369148032057675
ADH1A,-0.01828958083221964
ADH1B,-0.11265261045504366
ADH1C,-0.16500342686710973
ADH4,0.07447461274857914
ADH5,0.17924509773452346
ADH5P2,0.0
ADH5P3,0.021206617726826596
ADH5P4,0.011683151716119361
ADH5P5,-0.04977948530781774
ADH6,0.09401597029423003
ADH7,0.033405130915839215
ADHFE1,-0.5501556026948953
ADI1,0.0322817607121646
ADI1P1,0.0
ADI1P2,0.0
ADI1P3,0.0
ADIG,0.0
ADIPOQ,0.04640947090911032
ADIPOQ-AS1,0.0
ADIPOR1,-0.6618923906352014
ADIPOR1P1,0.015072479618838286
ADIPOR1P2,0.0
ADIPOR2,-0.0711484409965295
ADIRF,0.0
ADIRF-AS1,-0.6115551401280033
ADISSP,-0.5154621589187043
ADK,0.12657745452157165
ADM,-0.7130707650601664
ADM-DT,-0.27901818070024187
ADM2,1.430834663228084
ADM5,-0.14647144176935445
ADNP,0.2971497899387714
ADNP-AS1,-0.21048557203576967
ADNP2,0.378493024997832
ADO,0.4622461272098435
ADORA1,2.4332289385166184
ADORA1-AS1,0.029540268939223017
ADORA1-AS2,-0.007502292619247099
ADORA2A,0.16207054068925505
ADORA2A-AS1,0.10071286994901474
ADORA2B,2.0583475343734596
ADORA2BP1,0.11638208375855909
ADORA3,-0.011047519485078535
ADPGK,-0.3048601879911166
ADPGK-AS1,0.5896663999431961
ADPRH,-0.859820018970988
ADPRHL1,-0.04949670034895859
ADPRM,0.50449487639492
ADPRS,0.0352207417668966
ADRA1A,3.5743470226579155
ADRA1B,0.8549600022594983
