,log2FC_spectral
FXR1,-0.43702352430491065
DUX5,-1.5849625007211563
PYGB,-0.8818185736516858
SMUG1,-0.765534746362977
ROBO2,-1.632268215499513
F8WE28,-1.0
MAN2B2,-0.6520766965796931
CHD7,3.9068905956085187
CTBP2,-1.0749620576812222
B4DEV8,-0.989658055778541
CLIC2,-1.137503523749935
WNK1,-0.8757418970378542
SRC,-0.8438807980827181
TUBB2B,-0.8320370685581403
RPS3,-0.5953509887472711
NDRG3,-0.10433665981473561
PRKCB,-0.8829605788097805
MARK1,-0.6343505276833197
POMGNT2,-0.12553088208385899
TMEM14C,1.0
HSD17B10,-0.5252995794228168
RAB6C,-0.3103401206121506
A0A804HKP4,-1.5849625007211563
RBMX,-0.6780719051126377
AHCY,-0.8664763271626105
ASCC3,-0.84799690655495
NDUFA12,1.584962500721156
FAM3C,0.04975303519709973
ATP2B2,-0.45305082521557505
AP2M1,-0.7728094101607308
STAT2,-0.9175378398080271
SLC30A9,-0.7369655941662062
WASHC5,-0.5670405927238937
COL2A1,-4.087462841250339
CHP1,2.415037499278844
SLC7A5,-1.3219280948873622
E5RJ10,-0.16992500144231243
M0R2N6,-2.807354922057604
HTRA1,-0.3353903546939248
TRIP10,-2.321928094887362
A0A0C4DH22,1.0
DPP6,0.10691520391651188
DAP3,3.4594316186372973
MRPS17,-0.4854268271702417
KIF13B,-4.169925001442312
A0A2R8Y445,-0.41990325445065974
PSAT1,-1.471433555090742
JMJD7,3.700439718141092
REM2,-0.9434164716336325
NPEPPS,-0.6671386753465651
USP27X,-1.5849625007211563
SNRPC,2.807354922057604
ART4,-0.2895066171949848
SMAD9,-0.765534746362977
CNPY3,-0.9259994185562233
TBL2,-1.4420045468791132
C1,-2.584962500721156
KRT7,-0.24792751344358557
RAB6A,-0.9370225669496731
NDC1,-0.5849625007211563
UBQLN4,-0.34103691783506696
CAMKK2,-2.584962500721156
GOLGA3,-0.9059054845829507
PLXNC1,1.1634987322828796
SHOC2,0.07400058144377678
MRPL3,4.857980995127572
IFT46,-2.807354922057604
CFAP298,1.584962500721156
A0A8V8TMH9,2.584962500721156
USP9X,-1.0025924446165244
SCAMP5,6.189824558880018
SNTB1,-2.584962500721156
KRT12,-0.7269815055935841
CHD6,2.584962500721156
AGL,-0.39231742277876036
TUBB3,-0.7782797090403661
KIAA1549L,7.1799090900149345
ST13P4,-0.6728352567464905
RAB1A,-0.7840538226939227
YWHAZ,-0.8113815097404202
H7C2Y5,0.289506617194985
PLGRKT,-0.15754127698647993
ANXA2P2,-1.6298167365054164
RRAGC,-0.16349873228287934
SESTD1,-0.5305147166987798
MRE11,2.807354922057604
MOCS2,-2.321928094887362
H0YA22,-1.0
HECA,-1.1699250014423124
DVL2,-4.643856189774724
PELP1,-0.41654580578412076
UCHL5,-0.13940305666541636
SNX30,-0.5849625007211563
FMNL2,-1.3536369546147005
GNA12,-0.7986691941913817
PRMT2,0.41503749927884376
ACTN1,-0.7571019232289106
H0YIN7,-0.1604646721932461
NFYC,-4.754887502163468
U2AF2,-0.17333160288556176
C2CD5,2.584962500721156
ATAD3B,-0.598259323334614
PTPRZ1,0.4268146670551973
WDR18,-0.4746804457062456
EIF4ENIF1,-1.5849625007211563
RAB9A,-3.1699250014423126
CPNE1,-0.9879087707873814
COQ9,0.0
CPEB2,-0.867896463992655
DCPS,-0.49957100949051164
DCTN2,-0.7173653600679675
GSTM5,-0.29545588352617136
F5H5P2,-0.5849625007211563
ATP5PF,0.4764380439429871
ROCK1,-1.2801079191927354
VAPA,-0.154722594798642
ENGASE,-0.3219280948873623
SMS,-1.9621979672876155
NAP1L1,-0.5933369360449038
MRI1,-0.8744691179161412
MCRIP1,-3.321928094887362
NUP205,1.7004397181410922
E7EWS8,-1.0
TUBA4B,-0.6816638917756689
NR5A2,2.0
ZNG1A,-4.700439718141092
DRG2,-0.4974996594708167
GMFB,-0.04508788952853804
SCFD1,-1.141023520367605
A0A0D9SGF6,-2.584962500721156
CTPS1,-0.865326785092867
ITM2C,-0.8531586116707288
NRM,1.584962500721156
MFAP2,-0.6438561897747247
NACA,-0.1094112167205819
WRAP53,-0.39231742277876036
HDAC1,-0.9393372180933758
PAK2,-1.0372985414229754
SBDS,-1.1049695596015425
INS,-0.6022998171541674
SYMPK,-0.0995356735509144
VPS4A,-1.038023446454866
UFD1,-2.0324214776923775
NPC2,-0.15919859484925386
LRRC18,1.584962500721156
EHBP1,-1.0
STX1B,0.4274212237346762
SAMD4B,2.321928094887362
STT3A,0.29039252145425565
PHAF1,-4.700439718141092
SSBP2,-0.14809863898913386
NIPSNAP2,-0.6156592979440726
METTL16,0.0
CO5A1,2.807354922057604
DDX56,0.5849625007211562
NUP155,0.1353518528948863
TRAPPC10,-0.7369655941662062
NUP88,-1.1544713490357996
FUT8,-1.5849625007211563
PDCD4,-1.3219280948873622
IARS1,-0.9948094066063518
TRAPPC2B,1.0
RBM3,1.1154772174199359
DKK3,-1.9475325801058645
PPID,-0.8786937037778664
CYC1,-0.576192291093424
ANK3,-0.7854401456291634
CDK2,-1.685891409571937
GABPA,-2.415037499278844
DPY19L1,4.169925001442312
H7C592,-1.5849625007211563
CCP110,-1.1699250014423124
CAPN1,-0.030696797222916385
GPM6A,0.4059923596758368
MAPK6,2.0
SLC25A22,-0.8154041992569013
PTGES3,-1.0271361299375141
CYTH1,3.4594316186372973
ELAVL1,-0.7329525316595827
