,log2FC
ADH1B,-0.11415994739963835
ADH1C,-0.07431522341843812
ADH4,0.05693750459911121
ADH5,0.2720685128613791
ADH5P2,-0.017837537695015594
ADH5P3,0.02957580306459274
ADH5P4,0.003417129101397187
ADH5P5,-0.06146610802879918
ADH6,0.2107034957648014
ADH7,-0.01585614365458838
ADHFE1,-0.5162229227331487
ADI1,0.1759185730915176
ADI1P1,0.0
ADI1P2,0.0
ADI1P3,0.0
ADIG,-0.0062351077463954525
ADIPOQ,0.03490976517695991
ADIPOQ-AS1,-0.006525040344530927
ADIPOR1,-0.5264069795462714
ADIPOR1P1,0.006698879830594794
ADIPOR1P2,0.0
ADIPOR2,-0.09337889505663588
ADIRF,0.0
ADIRF-AS1,-0.5936730871646216
ADISSP,-0.385214897625068
ADK,0.30149810795548326
ADM,-0.813166790697466
ADM-DT,-0.2742813437142527
ADM2,1.0816838391082222
ADM5,-0.21892141968271273
ADNP,0.17393762612414587
ADNP-AS1,-0.13635391351403303
ADNP2,0.39943272527509066
ADO,0.27182990383174266
ADORA1,2.099253556709489
ADORA1-AS1,0.007032164770749424
ADORA1-AS2,0.029726070756129416
ADORA2A,0.12924154798386406
ADORA2A-AS1,0.07722549938155746
ADORA2B,1.962986717330159
ADORA2BP1,0.04562852691267656
ADORA3,0.001644161592473289
ADPGK,-0.17627255454118895
ADPGK-AS1,0.43936100063276284
ADPRH,-0.6770618353444577
ADPRHL1,0.14260421789999533
ADPRM,0.37619878604524626
ADPRS,-0.08972181197986018
ADRA1A,3.1420206377155244
ADRA1B,0.7640181323215429
ADRA1D,0.12708153569997666
ADRA2A,0.8764518857036903
ADRA2B,-0.0678284529930679
ADRA2C,0.32713274705602646
ADRB1,-0.32966902388790253
ADRB2,-0.796803468122212
ADRB3,0.11168524421328224
ADRM1,0.2418193211597668
ADSL,-0.15022985526436283
ADSS1,-1.310579582327399
ADSS2,-0.47929667007406174
ADTRP,-0.7631129839875804
AEBP1,-1.0307546038896747
AEBP2,-0.451680221291213
AEN,0.46049067800766164
AFAP1,0.9322422873317722
AFAP1-AS1,0.30392095233951155
AFAP1-AS2,0.13509914166957432
AFAP1L1,-0.0007056994520067139
AFAP1L2,-0.17173509497617068
AFDN,0.9077864872525385
AFF1,-0.6935709470163545
AFF2,1.3929217020190903
AFF2-IT1,0.021686386794105277
AFF3,0.5789578952012242
AFF4,0.12173012441736741
AFF4-DT,-0.05059637628593755
AFF4P1,0.03566257243383933
AFG1L,-0.19961971300635772
AFG2A,0.2792052412368258
AFG2B,0.569908889144084
AFG3L1P,0.4411167621375016
AFG3L2,0.17863162378630904
AFG3L2P1,0.007167921335012557
AFM,0.006761632240480433
AFMID,0.058378458955426815
AFP,-0.14936128232987228
AFTPH,-0.6227231119057675
AFTPH-DT,0.49320642425253736
AGA,-0.8407174743462713
AGA-DT,0.6929688325125198
AGAP1,0.09226020964643844
AGAP1-IT1,-0.6573804679657749
AGAP10P,0.1914747023114498
AGAP11,-0.035423755462666004
AGAP12P,-0.026644718694537717
AGAP13P,0.18177028740877166
AGAP14P,-0.06349845183973246
AGAP2,0.4204914678753431
AGAP2-AS1,0.0
AGAP3,0.06567311139543719
AGAP4,0.2999178837495875
AGAP5,0.04866077769114834
AGAP6,0.0037851456380661452
AGAP7P,-0.2053009784818849
AGAP9,0.7937695092677781
AGBL1,0.8783511102759302
AGBL1-AS1,0.016578107766723235
AGBL2,-1.6506856614569916
AGBL3,0.24654309224987392
AGBL4,-0.9528809445282782
AGBL4-AS1,-0.006261495900113989
AGBL4-IT1,-0.03747457011837397
AGBL5,-0.15675445683560874
AGBL5-AS1,0.2972998354095547
AGBL5-IT1,0.16121690205143685
AGER,-0.09890144961262859
AGFG1,0.25426621860493626
AGFG2,-1.1694297602438317
AGGF1,-0.026883968257712887
AGGF1P1,0.4765706507558899
AGGF1P10,0.0022130687676442506
AGGF1P2,0.3927635242381369
AGGF1P3,0.09231677001752236
AGGF1P4,0.0
AGGF1P5,-0.0060968436466830285
AGGF1P6,0.0
AGGF1P7,0.0
AGGF1P8,0.0
AGGF1P9,0.0
AGK,0.4769945945823144
AGK-DT,0.11197013133901046
AGKP1,-0.06557866246022366
