,log2FC
ADRA1B,0.6786565206816793
ADRA1D,0.023237070695950712
ADRA2A,0.5454824440596933
ADRA2B,-0.12454608595750433
ADRA2C,0.3230443728132151
ADRB1,-0.30356850739418895
ADRB2,-0.5616484398280279
ADRB3,0.050314646525517176
ADRM1,0.3160229181831209
ADSL,-0.19333665674007205
ADSS1,-1.1013995702023949
ADSS2,-0.32215143778634303
ADTRP,-0.5294136510019803
AEBP1,-0.973570197098157
AEBP2,-0.3632753975043519
AEN,0.5795002805443756
AFAP1,0.8182768422575775
AFAP1-AS1,0.23212416624690146
AFAP1-AS2,0.058826053955083196
AFAP1L1,-0.12594984142604626
AFAP1L2,-0.534315815626859
AFDN,0.7154967266504473
AFF1,-0.6381660121291448
AFF2,1.019963964622086
AFF2-IT1,0.012923509905643914
AFF3,0.41250195298237635
AFF4,0.15758055207769672
AFF4-DT,0.008668779477299049
AFF4P1,0.0641926303809108
AFG1L,-0.20757527118718366
AFG2A,0.15315864519694866
AFG2B,0.5874297897811176
AFG3L1P,0.33316273153543463
AFG3L2,0.26995736372216506
AFG3L2P1,0.012902258403022601
AFM,0.01217093803286478
AFMID,-0.1896693511349592
AFP,-0.2066519189142206
AFTPH,-0.6729737767660469
AFTPH-DT,0.3858921418209196
AGA,-0.4684744681986359
AGA-DT,0.5844850104504913
AGAP1,-0.11152822700283149
AGAP1-IT1,-0.706551758302749
AGAP10P,0.1282010273437333
AGAP11,-0.048996233808195636
AGAP12P,-0.07959174838885116
AGAP13P,0.18907893372992524
AGAP14P,0.0397894408384849
AGAP2,0.030868915439611122
AGAP2-AS1,0.0
AGAP3,0.03403342393134334
AGAP4,0.07866160659554566
AGAP5,0.035389763714575306
AGAP6,0.0028104955414547383
AGAP7P,-0.32700808949123283
AGAP9,0.5733067725716621
AGBL1,0.9242533891170124
AGBL1-AS1,-0.025527113864885792
AGBL2,-1.2701339552150033
AGBL3,0.30806353806370046
AGBL4,-0.8531147186632109
AGBL4-AS1,-0.046448788688953566
AGBL4-IT1,-0.06224668235013677
AGBL5,0.00034177415420266755
AGBL5-AS1,0.1279838261373839
AGBL5-IT1,0.08158473029888702
AGER,-0.3135950315849878
AGFG1,0.13599188523514005
AGFG2,-0.9923572843332362
AGGF1,-0.07941406457913835
AGGF1P1,0.46141605258715335
AGGF1P10,0.0
AGGF1P2,0.33435892408998713
AGGF1P3,0.0912288042406567
AGGF1P4,0.0
AGGF1P5,-0.012193687293366057
AGGF1P6,0.0
AGGF1P7,0.0
AGGF1P8,0.0
AGGF1P9,0.0
AGK,0.47303676742562306
AGK-DT,0.2314202149839698
AGKP1,-0.10791129224635616
AGKP2,0.0
AGL,-0.3744918508931905
AGMAT,0.044978676581774235
AGMO,-1.8643546647990186
AGO1,0.2679361905577551
AGO2,0.43873427581115987
AGO3,0.01712636512095944
AGO4,0.4512385931912375
AGPAT1,-0.3683593187042318
AGPAT2,-0.5173159212650118
AGPAT3,0.2046110193075208
AGPAT4,0.2643746229264794
AGPAT5,0.5036124102776363
AGPAT5P1,0.0
AGPS,0.08056605153313967
AGR2,-2.721328069754867
AGR3,-3.5373733160652265
AGRN,-0.19028784961063927
AGRP,-0.18556882350700335
AGT,-3.620734866680397
AGTPBP1,0.7901487810759678
AGTR1,0.05490951235214733
AGTR2,0.013222787365570041
AGTRAP,-1.3944363153343131
AGXT,-0.04878276618144067
AGXT2,-0.06529621298541605
AHCTF1,0.3040199903851546
AHCTF1P1,0.27998800030763205
AHCY,-0.07204387624478414
AHCYL1,-0.4154867519222245
AHCYL2,0.19166149446609815
AHCYP2,0.00017270667650818618
AHCYP3,-0.07954938776907827
AHCYP4,0.0
AHCYP5,0.0
AHCYP7,-2.5021016453857445e-05
AHCYP8,0.0
AHDC1,-0.6633694097052212
AHI1,-1.204843082727308
AHI1-DT,-0.9406376841628343
AHNAK,-1.655808970690153
AHNAK2,-0.5096268913585256
AHR,-0.1913260840431601
AHRR,-0.1279735032334971
AHSA1,-0.08315613873759631
AHSA2P,-0.5274558501735749
AHSG,0.2717566470065042
AHSP,-0.1082955501404658
AICDA,0.03699046595416421
AIDA,-0.43221019218385903
AIDAP1,0.0007529579560781006
AIDAP2,0.0628565435934116
AIDAP3,0.0
AIF1,-0.015308155198031942
AIF1L,1.8114975809938407
AIFM1,0.2075354600188355
AIFM1P1,0.0
AIFM2,-0.35024665798501564
AIFM3,-0.2787675074215814
AIG1,-0.6681345168550781
AIG1P1,0.0
AIM2,-0.4701357307777587
AIMP1,-0.04741543729842235
AIMP1P1,0.012760348069551355
AIMP1P2,0.0
AIMP2,-0.12972677698472612
AIP,-0.17749979715661013
AIPL1,-0.24775494239971438
AIRE,-0.021913380149905536
AIRIM,0.16775387696213473
AIRN,-0.27203792360933804
AJAP1,-1.0336724177674972
AJM1,-0.7707772382541414
AJUBA,-1.0189380668398793
AJUBA-DT,-0.09926330418662932
AK1,-0.4525553937994684
AK2,-0.1684989342462062
AK2P1,0.02516158482738129
AK2P2,-0.012388305876678277
AK3,-0.02393728074053847
AK3P2,-0.012470215492790905
AK3P3,0.5553432615978892
AK3P4,0.0
AK3P5,0.1298848174323031
AK3P6,0.0
AK3P7,-0.012470215492790905
AK4,0.6116378174276065
AK4P1,0.0984896014310166
AK4P2,0.0
AK4P3,0.43864303239117897
AK4P4,0.0007085711096565441
AK4P5,0.0
AK4P6,5.650251635980555e-05
AK5,-0.26880300003630975
AK5-AS1,-0.2797048397809415
AK6,-0.16029972102782608
AK6P1,0.0
AK6P2,0.0
AK7,-1.3574292543495732
AK8,-1.0525495924944668
AK9,-0.2468682434391578
AKAIN1,-0.8424127284648102
AKAP1,0.22004812476201074
AKAP1-DT,-0.12686299310272364
AKAP10,0.6443344553963426
AKAP11,-0.08634311301590536
AKAP12,0.6656433582577996
AKAP13,-0.5805990132352621
AKAP13-AS1,0.004175267152640272
AKAP14,-0.9859983390733382
AKAP17A,0.014258989209421813
AKAP17BP,0.0979598713954901
AKAP19,-0.47615841535795544
AKAP3,-0.5430821677757656
AKAP4,-0.0639919750946859
AKAP5,1.1373191757853691
AKAP6,-0.20678871660851605
AKAP7,1.372973063022863
AKAP8,0.4012066774982195
AKAP8L,0.05763953791110321
AKAP8P1,0.0
AKAP9,-0.3006021739706881
AKIP1,-0.15121256920698922
AKIRIN1,0.17838261987865245
AKIRIN1P1,0.0
AKIRIN1P2,0.0
AKIRIN2,0.2502287511272643
AKIRIN2P1,0.0
AKNA,-0.11951738806398904
